"# Source: ONS, Estimates of the population for England and Wales, mid-2025 (MYE2), table mye25tablesew.xlsx, geography K04000001 ENGLAND AND WALES. Downloaded 11 Sep 2026 from https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales"
age,persons,females,males
0,593467,289221,304246
1,611933,298563,313370
2,627510,305419,322091
3,663236,323222,340014
4,651824,317654,334170
5,671110,327342,343768
6,682406,332347,350059
7,691836,337204,354632
8,707619,345312,362307
9,726118,353853,372265
10,719681,350888,368793
11,723292,352948,370344
12,740126,360870,379256
13,758159,370365,387794
14,757985,369295,388690
15,747386,364781,382605
16,742014,361275,380739
17,750819,365318,385501
18,721968,351093,370875
19,716433,349027,367406
20,727989,354068,373921
21,729148,353897,375251
22,738135,360174,377961
23,758534,371642,386892
24,764594,374941,389653
25,781394,383861,397533
26,804408,399942,404466
27,816442,410747,405695
28,832953,421466,411487
29,818907,414572,404335
30,828919,423255,405664
31,846900,433744,413156
32,847530,435340,412190
33,868529,446837,421692
34,879223,452424,426799
35,878568,453194,425374
36,870735,450683,420052
37,878935,456282,422653
38,858048,446010,412038
39,851409,439965,411444
40,845714,436318,409396
41,817069,421714,395355
42,815806,420873,394933
43,808755,415730,393025
44,814644,418896,395748
45,814885,417375,397510
46,779056,397991,381065
47,723253,368313,354940
48,708944,360541,348403
49,721619,366457,355162
50,735170,372979,362191
51,742093,377129,364964
52,769701,390759,378942
53,797201,404999,392202
54,825760,421210,404550
55,803220,409313,393907
56,820108,418122,401986
57,815578,415997,399581
58,819633,417195,402438
59,814584,416878,397706
60,815321,417115,398206
61,802867,410849,392018
62,781769,400364,381405
63,761190,389648,371542
64,730375,372738,357637
65,697905,356946,340959
66,676441,346810,329631
67,653833,335351,318482
68,623501,321596,301905
69,595258,307121,288137
70,568471,295472,272999
71,565046,295143,269903
72,550644,287818,262826
73,528646,278612,250034
74,525676,277483,248193
75,526288,279682,246606
76,531002,282469,248533
77,551917,295263,256654
78,585847,313846,272001
79,436293,235884,200409
80,411260,223816,187444
81,395668,216448,179220
82,351861,195001,156860
83,300648,168737,131911
84,254772,145146,109626
85,249662,143481,106181
86,231931,134857,97074
87,209005,123237,85768
88,181337,108474,72863
89,155130,94627,60503
90+,581414,383411,198003
